,dates,T,T_est
0,2017-12-06 08:30:08,15.66,14.20572280883789
1,2017-12-06 09:51:48,15.66,12.804561078548431
2,2017-12-06 11:13:28,15.66,12.139658987522125
3,2017-12-06 12:35:08,15.66,14.739229083061218
4,2017-12-06 13:56:48,15.66,14.484888706888471
5,2017-12-06 15:18:28,15.66,12.933977359107562
6,2017-12-06 16:40:08,15.66,11.765224652630943
7,2017-12-06 18:01:48,15.615833333333333,12.845726688043767
8,2017-12-06 19:23:28,15.502407407407407,12.844052863911994
9,2017-12-06 20:45:08,,
10,2017-12-06 22:06:48,,
11,2017-12-06 23:28:28,,
12,2017-12-07 00:50:08,,
13,2017-12-07 02:11:48,,
14,2017-12-07 03:33:28,,
15,2017-12-07 04:55:08,,
16,2017-12-07 06:16:48,,
17,2017-12-07 07:38:28,14.481574074074075,12.828988446726052
18,2017-12-07 09:00:08,14.435111111111112,13.521051102450915
19,2017-12-07 10:21:48,13.7188,9.053785828607422
20,2017-12-07 11:43:28,14.46,14.089028281824929
21,2017-12-07 13:05:08,13.674466666666667,14.066561784063067
22,2017-12-07 14:26:48,14.85,14.464335475649152
23,2017-12-07 15:48:28,14.44,14.213431109275136
24,2017-12-07 17:10:08,15.0,13.947193554469518
25,2017-12-07 18:31:48,14.968787878787879,14.395633004991145
26,2017-12-07 19:53:28,14.927542087542088,14.252112011714228
27,2017-12-07 21:15:08,,
28,2017-12-07 22:36:48,,
29,2017-12-07 23:58:28,,
30,2017-12-08 01:20:08,,
31,2017-12-08 02:41:48,,
32,2017-12-08 04:03:28,,
33,2017-12-08 05:25:08,,
34,2017-12-08 06:46:48,,
35,2017-12-08 08:08:28,14.556329966329967,12.960423072221978
36,2017-12-08 09:30:08,14.515084175084175,12.816902078945061
37,2017-12-08 10:51:48,14.6,13.5104247544493
38,2017-12-08 12:13:28,15.035422222222222,15.320135142121996
39,2017-12-08 13:35:08,15.308555555555555,14.396459698677063
40,2017-12-08 14:56:48,15.35,14.347336888313293
41,2017-12-08 16:18:28,15.329866666666666,14.511869102716446
42,2017-12-08 17:40:08,15.854708148148148,12.934056895462822
43,2017-12-08 19:01:48,15.812059999999999,13.125981145066108
44,2017-12-08 20:23:28,,
45,2017-12-08 21:45:08,,
46,2017-12-08 23:06:48,,
47,2017-12-09 00:28:28,,
48,2017-12-09 01:50:08,,
49,2017-12-09 03:11:48,,
50,2017-12-09 04:33:28,,
51,2017-12-09 05:55:08,,
52,2017-12-09 07:16:48,15.428226666666667,14.853299391495673
53,2017-12-09 08:38:28,15.39,14.200507689799581
54,2017-12-09 10:00:08,15.552822222222222,13.612135644469943
55,2017-12-09 11:21:48,15.750183333333332,13.48941973916122
56,2017-12-09 12:43:28,14.71,12.791753959655761
57,2017-12-09 14:05:08,15.16,14.553081601858139
58,2017-12-09 15:26:48,14.400666666666668,14.466512407575335
59,2017-12-09 16:48:28,14.493933333333333,12.424434119037219
60,2017-12-09 18:10:08,14.628462222222222,14.572679779540872
61,2017-12-09 19:31:48,14.50324,14.276441630029
62,2017-12-09 20:53:28,,
