id,H,T
1,1.3,10.06
2,1.3,10.06
3,1.3,10.06
4,1.3,10.06
5,1.3,10.06
6,1.3,10.06
7,1.3,10.06
8,1.3,10.06
9,1.3,10.06
10,1.3,10.06
11,1.3,10.06
12,1.3,10.06
13,1.3,10.06
14,1.3,10.06
15,1.3,10.06
16,1.3,10.06
17,1.3,10.06
18,1.3,10.06
19,1.3,10.06
20,1.3,10.06
21,1.3,10.06
22,1.3,10.06
23,1.3,10.06
24,1.3,10.06
25,1.3,10.06
26,1.3,10.06
27,1.3,10.06
28,1.3,10.06
29,1.3,10.06
30,1.3,10.06
31,1.3,10.06
32,1.3,10.06
33,1.3,10.06
34,1.3,10.06
35,1.3,10.06
36,1.3,10.06
37,1.3,10.06
38,1.3,10.06
39,1.3,10.06
40,1.3,10.06
41,1.3,10.06
42,1.3,10.06
43,1.3,10.06
44,1.3,10.06
45,1.3,10.06
46,1.3,10.06
47,1.3,10.06
48,1.3,10.06
49,1.3,10.06
50,1.3,10.06
51,1.3,10.06
52,1.3,10.06
53,1.3,10.06
54,1.3,10.06
55,1.3,10.06
56,1.3,10.06
57,1.3,10.06
58,1.3,10.06
59,1.3,10.06
60,1.3,10.06
61,1.3,10.06
62,1.3,10.06
63,1.3,10.06
64,1.3,10.06
65,1.3,10.06
66,1.3,10.06
67,1.3,10.06
68,1.3,10.06
69,1.3,10.06
70,1.3,10.06
71,1.3,10.06
72,1.3,10.06
73,1.3,10.06
74,1.3,10.06
75,1.3,10.06
76,1.3,10.06
77,1.3,10.06
78,1.3,10.06
79,1.3,10.06
80,1.3,10.06
81,1.3,10.06
82,1.3,10.06
83,1.3,10.06
84,1.3,10.06
85,1.3,10.06
86,1.3,10.06
87,1.3,10.06
88,1.3,10.06
89,1.3,10.06
90,1.3,10.06
91,1.3,10.06
92,1.3,10.06
93,1.3,10.06
94,1.3,10.06
95,1.3,10.06
96,1.3,10.06
97,1.3,10.06
98,1.3,10.06
99,1.3,10.06
100,1.3,10.06
101,1.3,10.06
102,1.3,10.06
103,1.3,10.06
104,1.3,10.06
105,1.3,10.06
106,1.3,10.06
107,1.3,10.06
108,1.3,10.06
109,1.3,10.06
110,1.3,10.06
111,1.3,10.06
112,1.3,10.06
113,1.3,10.06
114,1.3,10.06
115,1.3,10.06
116,1.3,10.06
117,1.3,10.06
118,1.3,10.06
119,1.3,10.06
120,1.3,10.06
121,1.3,10.06
122,1.3,10.06
123,1.3,10.06
124,1.3,10.06
125,1.3,10.06
126,1.3,10.06
127,1.3,10.06
128,1.3,10.06
129,1.3,10.06
130,1.3,10.06
131,1.3,10.06
132,1.3,10.06
133,1.3,10.06
134,1.3,10.06
135,1.3,10.06
136,1.3,10.06
137,1.3,10.06
138,1.3,10.06
139,1.3,10.06
140,1.3,10.06
141,1.3,10.06
142,1.3,10.06
143,1.3,10.06
144,1.3,10.06
145,1.3,10.06
146,1.3,10.06
147,1.3,10.06
148,1.3,10.06
149,1.3,10.06
150,1.3,10.06
151,1.3,10.06
152,1.3,10.06
153,1.3,10.06
154,1.3,10.06
155,1.3,10.06
156,1.3,10.06
157,1.3,10.06
158,1.3,10.06
159,1.3,10.06
160,1.3,10.06
161,1.3,10.06
162,1.3,10.06
163,1.3,10.06
164,1.3,10.06
165,1.3,10.06
166,1.3,10.06
167,1.3,10.06
168,1.3,10.06
169,1.3,10.06
170,1.3,10.06
171,1.3,10.06
172,1.3,10.06
173,1.3,10.06
174,1.3,10.06
175,1.3,10.06
176,1.3,10.06
177,1.3,10.06
178,1.3,10.06
179,1.3,10.06
180,1.3,10.06
181,1.3,10.06
182,1.3,10.06
183,1.3,10.06
184,1.3,10.06
185,1.3,10.06
186,1.3,10.06
187,1.3,10.06
188,1.3,10.06
189,1.3,10.06
190,1.3,10.06
191,1.3,10.06
192,1.3,10.06
193,1.3,10.06
194,1.3,10.06
195,1.3,10.06
196,1.3,10.06
197,1.3,10.06
198,1.3,10.06
199,1.3,10.06
200,1.3,10.06
201,1.3,10.06
202,1.3,10.06
203,1.3,10.06
204,1.3,10.06
205,1.3,10.06
206,1.3,10.06
207,1.3,10.06
208,1.3,10.06
209,1.3,10.06
210,1.3,10.06
211,1.3,10.06
212,1.3,10.06
213,1.3,10.06
214,1.3,10.06
215,1.3,10.06
216,1.3,10.06
217,1.3,10.06
218,1.3,10.06
219,1.3,10.06
220,1.3,10.06
221,1.3,10.06
222,1.3,10.06
223,1.3,10.06
224,1.3,10.06
225,1.3,10.06
226,1.3,10.06
227,1.3,10.06
228,1.3,10.06
229,1.3,10.06
230,1.3,10.06
231,1.3,10.06
232,1.3,10.06
233,1.3,10.06
234,1.3,10.06
235,1.3,10.06
236,1.3,10.06
237,1.3,10.06
238,1.3,10.06
239,1.3,10.06
240,1.3,10.06
241,1.3,10.06
242,1.3,10.06
243,1.3,10.06
244,1.3,10.06
245,1.3,10.06
246,1.3,10.06
247,1.3,10.06
248,1.3,10.06
249,1.3,10.06
250,1.3,10.06
251,1.3,10.06
252,1.3,10.06
253,1.3,10.06
254,1.3,10.06
255,1.3,10.06
256,1.3,10.06
257,1.3,10.06
258,1.3,10.06
259,1.3,10.06
260,1.3,10.06
261,1.3,10.06
262,1.3,10.06
263,1.3,10.06
264,1.3,10.06
265,1.3,10.06
266,1.3,10.06
267,1.3,10.06
268,1.3,10.06
269,1.3,10.06
270,1.3,10.06
271,1.3,10.06
272,1.3,10.06
273,1.3,10.06
274,1.3,10.06
275,1.3,10.06
276,1.3,10.06
277,1.3,10.06
278,1.3,10.06
279,1.3,10.06
280,1.3,10.06
281,1.3,10.06
282,1.3,10.06
283,1.3,10.06
284,1.3,10.06
285,1.3,10.06
286,1.3,10.06
287,1.3,10.06
288,1.3,10.06
289,1.3,10.06
290,1.3,10.06
291,1.3,10.06
292,1.3,10.06
293,1.3,10.06
294,1.3,10.06
295,1.3,10.06
296,1.3,10.06
297,1.3,10.06
298,1.3,10.06
299,1.3,10.06
300,1.3,10.06
301,1.3,10.06
302,1.3,10.06
303,1.3,10.06
304,1.3,10.06
305,1.3,10.06
306,1.3,10.06
307,1.3,10.06
308,1.3,10.06
309,1.3,10.06
310,1.3,10.06
311,1.3,10.06
312,1.3,10.06
313,1.3,10.06
314,1.3,10.06
315,1.3,10.06
316,1.3,10.06
317,1.3,10.06
318,1.3,10.06
319,1.3,10.06
320,1.3,10.06
321,1.3,10.06
322,1.3,10.06
323,1.3,10.06
324,1.3,10.06
325,1.3,10.06
326,1.3,10.06
327,1.3,10.06
328,1.3,10.06
329,1.3,10.06
330,1.3,10.06
331,1.3,10.06
332,1.3,10.06
333,1.3,10.06
334,1.3,10.06
335,1.3,10.06
336,1.3,10.06
337,1.3,10.06
338,1.3,10.06
339,1.3,10.06
340,1.3,10.06
341,1.3,10.06
342,1.3,10.06
343,1.3,10.06
344,1.3,10.06
345,1.3,10.06
346,1.3,10.06
347,1.3,10.06
348,1.3,10.06
349,1.3,10.06
350,1.3,10.06
351,1.3,10.06
352,1.3,10.06
353,1.3,10.06
354,1.3,10.06
355,1.3,10.06
356,1.3,10.06
357,1.3,10.06
358,1.3,10.06
359,1.3,10.06
360,1.3,10.06
361,1.3,10.06
362,1.3,10.06
363,1.3,10.06
364,1.3,10.06
365,1.3,10.06
366,1.3,10.06
367,1.3,10.06
368,1.3,10.06
369,1.3,10.06
370,1.3,10.06
371,1.3,10.06
372,1.3,10.06
373,1.3,10.06
374,1.3,10.06
375,1.3,10.06
