id,class,H,T
1,1,1.3,10.06
2,1,1.3,10.06
3,1,1.3,10.06
4,1,1.3,10.06
5,1,1.3,10.06
6,1,1.3,10.06
7,1,1.3,10.06
8,1,1.3,10.06
9,1,1.3,10.06
10,1,1.3,10.06
11,1,1.3,10.06
12,1,1.3,10.06
13,1,1.3,10.06
14,1,1.3,10.06
15,1,1.3,10.06
16,1,1.3,10.06
17,1,1.3,10.06
18,1,1.3,10.06
19,1,1.3,10.06
20,1,1.3,10.06
21,1,1.3,10.06
22,1,1.3,10.06
23,1,1.3,10.06
24,1,1.3,10.06
25,1,1.3,10.06
26,1,1.3,10.06
27,1,1.3,10.06
28,1,1.3,10.06
29,1,1.3,10.06
30,1,1.3,10.06
31,1,1.3,10.06
32,1,1.3,10.06
33,1,1.3,10.06
34,1,1.3,10.06
35,1,1.3,10.06
36,1,1.3,10.06
37,1,1.3,10.06
38,1,1.3,10.06
39,1,1.3,10.06
40,1,1.3,10.06
41,1,1.3,10.06
42,1,1.3,10.06
43,1,1.3,10.06
44,1,1.3,10.06
45,1,1.3,10.06
46,1,1.3,10.06
47,1,1.3,10.06
48,1,1.3,10.06
49,1,1.3,10.06
50,1,1.3,10.06
51,1,1.3,10.06
52,1,1.3,10.06
53,1,1.3,10.06
54,1,1.3,10.06
55,1,1.3,10.06
56,1,1.3,10.06
57,1,1.3,10.06
58,1,1.3,10.06
59,1,1.3,10.06
60,1,1.3,10.06
61,1,1.3,10.06
62,1,1.3,10.06
63,1,1.3,10.06
64,1,1.3,10.06
65,1,1.3,10.06
66,1,1.3,10.06
67,1,1.3,10.06
68,1,1.3,10.06
69,1,1.3,10.06
70,1,1.3,10.06
71,1,1.3,10.06
72,1,1.3,10.06
73,1,1.3,10.06
74,1,1.3,10.06
75,1,1.3,10.06
76,1,1.3,10.06
77,1,1.3,10.06
78,1,1.3,10.06
79,1,1.3,10.06
80,1,1.3,10.06
81,1,1.3,10.06
82,1,1.3,10.06
83,1,1.3,10.06
84,1,1.3,10.06
85,1,1.3,10.06
86,1,1.3,10.06
87,1,1.3,10.06
88,1,1.3,10.06
89,1,1.3,10.06
90,1,1.3,10.06
91,1,1.3,10.06
92,1,1.3,10.06
93,1,1.3,10.06
94,1,1.3,10.06
95,1,1.3,10.06
96,1,1.3,10.06
97,1,1.3,10.06
98,1,1.3,10.06
99,1,1.3,10.06
100,1,1.3,10.06
101,1,1.3,10.06
102,1,1.3,10.06
103,1,1.3,10.06
104,1,1.3,10.06
105,1,1.3,10.06
106,1,1.3,10.06
107,1,1.3,10.06
108,1,1.3,10.06
109,1,1.3,10.06
110,1,1.3,10.06
111,1,1.3,10.06
112,1,1.3,10.06
113,1,1.3,10.06
114,1,1.3,10.06
115,1,1.3,10.06
116,1,1.3,10.06
117,1,1.3,10.06
118,1,1.3,10.06
119,1,1.3,10.06
120,1,1.3,10.06
121,1,1.3,10.06
122,1,1.3,10.06
123,1,1.3,10.06
124,1,1.3,10.06
125,1,1.3,10.06
126,1,1.3,10.06
127,1,1.3,10.06
128,1,1.3,10.06
129,1,1.3,10.06
130,1,1.3,10.06
131,1,1.3,10.06
132,1,1.3,10.06
133,1,1.3,10.06
134,1,1.3,10.06
135,1,1.3,10.06
136,1,1.3,10.06
137,1,1.3,10.06
138,1,1.3,10.06
139,1,1.3,10.06
140,1,1.3,10.06
141,1,1.3,10.06
142,1,1.3,10.06
143,1,1.3,10.06
144,1,1.3,10.06
145,1,1.3,10.06
146,1,1.3,10.06
147,1,1.3,10.06
148,1,1.3,10.06
149,1,1.3,10.06
150,1,1.3,10.06
151,1,1.3,10.06
152,1,1.3,10.06
153,1,1.3,10.06
154,1,1.3,10.06
155,1,1.3,10.06
156,1,1.3,10.06
157,1,1.3,10.06
158,1,1.3,10.06
159,1,1.3,10.06
160,1,1.3,10.06
161,1,1.3,10.06
162,1,1.3,10.06
163,1,1.3,10.06
164,1,1.3,10.06
165,1,1.3,10.06
166,1,1.3,10.06
167,1,1.3,10.06
168,1,1.3,10.06
169,1,1.3,10.06
170,1,1.3,10.06
171,1,1.3,10.06
172,1,1.3,10.06
173,1,1.3,10.06
174,1,1.3,10.06
175,1,1.3,10.06
176,1,1.3,10.06
177,1,1.3,10.06
178,1,1.3,10.06
179,1,1.3,10.06
180,1,1.3,10.06
181,1,1.3,10.06
182,1,1.3,10.06
183,1,1.3,10.06
184,1,1.3,10.06
185,1,1.3,10.06
186,1,1.3,10.06
187,1,1.3,10.06
188,1,1.3,10.06
189,1,1.3,10.06
190,1,1.3,10.06
191,1,1.3,10.06
192,1,1.3,10.06
193,1,1.3,10.06
194,1,1.3,10.06
195,1,1.3,10.06
196,1,1.3,10.06
197,1,1.3,10.06
198,1,1.3,10.06
199,1,1.3,10.06
200,1,1.3,10.06
201,1,1.3,10.06
202,1,1.3,10.06
203,1,1.3,10.06
204,1,1.3,10.06
205,1,1.3,10.06
206,1,1.3,10.06
207,1,1.3,10.06
208,1,1.3,10.06
209,1,1.3,10.06
210,1,1.3,10.06
211,1,1.3,10.06
212,1,1.3,10.06
213,1,1.3,10.06
214,1,1.3,10.06
215,1,1.3,10.06
216,1,1.3,10.06
217,1,1.3,10.06
218,1,1.3,10.06
219,1,1.3,10.06
220,1,1.3,10.06
221,1,1.3,10.06
222,1,1.3,10.06
223,1,1.3,10.06
224,1,1.3,10.06
225,1,1.3,10.06
226,1,1.3,10.06
227,1,1.3,10.06
228,1,1.3,10.06
229,1,1.3,10.06
230,1,1.3,10.06
231,1,1.3,10.06
232,1,1.3,10.06
233,1,1.3,10.06
234,1,1.3,10.06
235,1,1.3,10.06
236,1,1.3,10.06
237,1,1.3,10.06
238,1,1.3,10.06
239,1,1.3,10.06
240,1,1.3,10.06
241,1,1.3,10.06
242,1,1.3,10.06
243,1,1.3,10.06
244,1,1.3,10.06
245,1,1.3,10.06
246,1,1.3,10.06
247,1,1.3,10.06
248,1,1.3,10.06
249,1,1.3,10.06
250,1,1.3,10.06
251,1,1.3,10.06
